original english sentences,deepl sentences,google sentences
" the scent of hay was in the air through the lush meadows beyond pyrford, and the hedges on either side were sweet and gay with multitudes of dog-roses"," l'odeur du foin flottait dans l'air à travers les prairies luxuriantes au-delà de pyrford, et les haies de chaque côté étaient douces et gaies avec des multitudes d'églantines","l'odeur du foin flottait dans l'air à travers les prairies luxuriantes au-delà de Pyrford, et les haies de chaque côté étaient douces et gaies avec une multitude d'églantiers."
" the heavy firing that had broken out while we were driving down maybury hill ceased as abruptly as it began, leaving the evening very peaceful and still"," les tirs nourris qui avaient éclaté pendant que nous descendions la colline de maybury ont cessé aussi brusquement qu'ils avaient commencé, laissant la soirée très paisible et calme","les tirs nourris qui avaient éclaté alors que nous descendions Maybury Hill ont cessé aussi brusquement qu'ils avaient commencé, laissant la soirée très paisible et calme."
" we got to leatherhead without misadventure about nine o'clock, and the horse had an hour's rest while i took supper with my cousins and commended my wife to their care"," Nous sommes arrivés à Leatherhead sans mésaventure vers neuf heures, et le cheval a eu une heure de repos pendant que je dînais avec mes cousins et que je confiais ma femme à leurs soins.","nous sommes arrivés à Leatherhead sans incident vers neuf heures, et le cheval s'est reposé une heure pendant que je dînais avec mes cousins ​​et que je recommandais ma femme à leurs soins."
"  my wife was curiously silent throughout the drive, and seemed oppressed with forebodings of evil","  ma femme était curieusement silencieuse pendant tout le trajet, et semblait oppressée par des pressentiments de malheur",ma femme est restée curieusement silencieuse tout au long du trajet et semblait opprimée par des pressentiments du mal
" i talked to her reassuringly, pointing out that the martians were tied to the pit by sheer heaviness, and at the utmost could but crawl a little out of it; but she answered only in monosyllables"," je lui ai parlé de façon rassurante, en lui faisant remarquer que les martiens étaient attachés à la fosse par leur lourdeur, et qu'ils ne pouvaient au maximum que ramper un peu pour en sortir ; mais elle ne m'a répondu que par des monosyllabes","je lui ai parlé de manière rassurante, lui faisant remarquer que les martiens étaient attachés à la fosse par le simple poids et qu'ils ne pouvaient tout au plus ramper qu'un peu pour en sortir ; mais elle ne répondait que par monosyllabes"
" had it not been for my promise to the innkeeper, she would, i think, have urged me to stay in leatherhead that night"," sans la promesse que j'avais faite à l'aubergiste, je pense qu'elle m'aurait incité à rester à Leatherhead cette nuit-là","Sans ma promesse à l'aubergiste, elle m'aurait, je pense, poussé à rester à Leatherhead cette nuit-là."
" would that i had! her face, i remember, was very white as we parted"," Si seulement je l'avais fait ! Son visage, je m'en souviens, était très blanc lorsque nous nous sommes séparées.","est-ce que j'aurais! son visage, je me souviens, était très blanc lorsque nous nous sommes séparés"
"  for my own part, i had been feverishly excited all day","  pour ma part, j'ai été fébrilement excité toute la journée","pour ma part, j'avais été fébrilement excité toute la journée"
" something very like the war fever that occasionally runs through a civilised community had got into my blood, and in my heart i was not so very sorry that i had to return to maybury that night"," J'avais dans le sang quelque chose qui ressemblait à la fièvre de la guerre qui traverse parfois une communauté civilisée, et dans mon cœur, je ne regrettais pas vraiment d'avoir dû retourner à Maybury ce soir-là.","quelque chose qui ressemblait beaucoup à la fièvre de guerre qui traverse parfois une communauté civilisée était entré dans mon sang, et dans mon cœur je n'étais pas si désolé d'avoir dû retourner à Maybury cette nuit-là."
 i was even afraid that that last fusillade i had heard might mean the extermination of our invaders from mars, je craignais même que la dernière fusillade que j'avais entendue ne signifie l'extermination de nos envahisseurs de mars,j'avais même peur que cette dernière fusillade que j'avais entendue ne signifie l'extermination de nos envahisseurs venus de mars
 i can best express my state of mind by saying that i wanted to be in at the death, je peux exprimer au mieux mon état d'esprit en disant que je voulais être présent à la mort,je peux mieux exprimer mon état d'esprit en disant que je voulais être présent au moment de la mort
  it was nearly eleven when i started to return,  Il était près de onze heures lorsque j'ai commencé à rentrer.,il était presque onze heures quand j'ai commencé à rentrer
" the night was unexpectedly dark; to me, walking out of the lighted passage of my cousins' house, it seemed indeed black, and it was as hot and close as the day"," la nuit était sombre de façon inattendue ; pour moi qui sortais du passage éclairé de la maison de mes cousins, elle paraissait vraiment noire, et il faisait aussi chaud et étroit que le jour","la nuit était étonnamment sombre ; pour moi, sortant du passage éclairé de la maison de mes cousins, il me semblait effectivement noir, et il faisait aussi chaud et proche que le jour"
" overhead the clouds were driving fast, albeit not a breath stirred the shrubs about us"," Au-dessus de nous, les nuages se déplaçaient rapidement, mais aucun souffle n'agitait les arbustes autour de nous.","au-dessus de nous, les nuages ​​roulaient vite, même si pas un souffle ne remuait les arbustes autour de nous."
 my cousins' man lit both lamps, l'homme de mes cousins a allumé les deux lampes,l'homme de mes cousins ​​a allumé les deux lampes
" happily, i knew the road intimately"," heureusement, je connaissais la route intimement","Heureusement, je connaissais intimement la route"
" my wife stood in the light of the doorway, and watched me until i jumped up into the dog cart", ma femme s'est tenue dans la lumière de l'embrasure de la porte et m'a regardé jusqu'à ce que je saute dans le chariot du chien,ma femme se tenait à la lumière de la porte et me regardait jusqu'à ce que je saute dans la charrette à chien
" then abruptly she turned and went in, leaving my cousins side by side wishing me good hap"," puis, brusquement, elle s'est retournée et est entrée, laissant mes cousins côte à côte, me souhaitant bonne chance.","puis brusquement elle se retourna et entra, laissant mes cousins ​​côte à côte en me souhaitant bonne chance"
"  i was a little depressed at first with the contagion of my wife's fears, but very soon my thoughts reverted to the martians","  j'ai été un peu déprimé au début par la contagion des craintes de ma femme, mais très vite mes pensées sont revenues aux martiens","j'étais un peu déprimé au début à cause de la contagion des peurs de ma femme, mais très vite mes pensées se sont tournées vers les martiens"
 at that time i was absolutely in the dark as to the course of the evening's fighting," a ce moment-la, je ne savais absolument pas comment se derouleraient les combats de la soiree","à ce moment-là, j'étais absolument dans le flou quant au déroulement des combats de la soirée"
 i did not know even the circumstances that had precipitated the conflict, je ne connaissais même pas les circonstances qui avaient précipité le conflit,je ne connaissais même pas les circonstances qui avaient précipité le conflit
" as i came through ockham (for that was the way i returned, and not through send and old woking) i saw along the western horizon a blood-red glow, which as i drew nearer, crept slowly up the sky"," en traversant ockham (car c'est par là que je revenais, et non par send et old woking), j'aperçus à l'horizon ouest une lueur rouge sang qui, à mesure que je m'approchais, montait lentement dans le ciel.","Alors que je traversais Ockham (car c'était ainsi que je revenais, et non par Send et Old Woking), j'aperçus le long de l'horizon ouest une lueur rouge sang qui, à mesure que je m'approchais, montait lentement dans le ciel."
 the driving clouds of the gathering thunderstorm mingled there with masses of black and red smoke, les nuages battants de l'orage naissant s'y mêlaient à des masses de fumée noire et rouge,les nuages ​​​​pulsants de l'orage qui se rassemblait s'y mêlaient à des masses de fumée noire et rouge
"  ripley street was deserted, and except for a lighted window or so the village showed not a sign of life; but i narrowly escaped an accident at the corner of the road to pyrford, where a knot of people stood with their backs to me","  la rue ripley était déserte et, à l'exception d'une fenêtre éclairée ou presque, le village ne donnait aucun signe de vie ; mais j'ai échappé de peu à un accident au coin de la route de pyrford, où un groupe de personnes me tournait le dos","Ripley Street était déserte et, à l'exception d'une fenêtre éclairée, le village ne montrait aucun signe de vie ; mais j'ai échappé de peu à un accident au coin de la route de Pyrford, où un groupe de personnes me tournait le dos."
 they said nothing to me as i passed, ils ne m'ont rien dit quand je suis passé,ils ne m'ont rien dit quand je suis passé
" i do not know what they knew of the things happening beyond the hill, nor do i know if the silent houses i passed on my way were sleeping securely, or deserted and empty, or harassed and watching against the terror of the night"," je ne sais pas ce qu'ils savaient de ce qui se passait de l'autre côté de la colline, ni si les maisons silencieuses que j'ai croisées sur mon chemin dormaient en toute sécurité, ou si elles étaient désertes et vides, ou si elles étaient harcelées et veillaient contre la terreur de la nuit.","Je ne sais pas ce qu'ils savaient des choses qui se passaient au-delà de la colline, et je ne sais pas non plus si les maisons silencieuses que je traversais sur mon chemin dormaient en toute sécurité, ou étaient désertes et vides, ou harcelées et veillaient contre la terreur de la nuit."
"  from ripley until i came through pyrford i was in the valley of the wey, and the red glare was hidden from me","  de ripley a pyrford, j'etais dans la vallee de la wey, et la lueur rouge m'etait cachee","de Ripley jusqu'à ce que je passe par Pyrford, j'étais dans la vallée du Wey, et l'éclat rouge m'était caché"
" as i ascended the little hill beyond pyrford church the glare came into view again, and the trees about me shivered with the first intimation of the storm that was upon me"," Alors que je montais la petite colline au-delà de l'église de Pyrford, l'éblouissement se fit à nouveau sentir, et les arbres autour de moi frissonnèrent avec la première indication de la tempête qui m'attendait.","Alors que je gravissais la petite colline au-delà de l'église de Pyrford, l'éblouissement réapparut et les arbres autour de moi frissonnèrent au premier signe de la tempête qui s'abattait sur moi."
" then i heard midnight pealing out from pyrford church behind me, and then came the silhouette of maybury hill, with its tree-tops and roofs black and sharp against the red"," j'ai entendu minuit sonner à l'église de pyrford derrière moi, puis la silhouette de maybury hill, avec ses cimes d'arbres et ses toits noirs et tranchants sur le rouge.","puis j'ai entendu minuit sonner de l'église de Pyrford derrière moi, puis est venue la silhouette de Maybury Hill, avec ses cimes d'arbres et ses toits noirs et nets sur le rouge."
  even as i beheld this a lurid green glare lit the road about me and showed the distant woods towards addlestone,"  alors meme que je regardais cela, une lumiere verte lugubre illuminait la route autour de moi et montrait les bois lointains en direction d'addlestone","alors même que je voyais cela, un éclat vert sinistre illuminait la route autour de moi et montrait les bois lointains vers Addlestone."
 i felt a tug at the reins, j'ai senti qu'on tirait sur les rênes,j'ai senti une traction sur les rênes
" i saw that the driving clouds had been pierced as it were by a thread of green fire, suddenly lighting their confusion and falling into the field to my left"," je vis que les nuages en mouvement avaient été comme transpercés par un fil de feu vert, éclairant soudain leur confusion et tombant dans le champ à ma gauche","j'ai vu que les nuages ​​​​en mouvement avaient été comme transpercés par un fil de feu vert, allumant soudain leur confusion et tombant dans le champ à ma gauche"
" it was the third falling star!  close on its apparition, and blindingly violet by contrast, danced out the first lightning of the gathering storm, and the thunder burst like a rocket overhead"," c'était la troisième étoile filante ! tout près de son apparition, d'un violet aveuglant par contraste, dansaient les premiers éclairs de l'orage qui se préparait, et le tonnerre éclatait comme une fusée au-dessus de nos têtes.","c'était la troisième étoile filante !  proche de son apparition, et d'un violet aveuglant par contraste, le premier éclair de l'orage qui se rassemblait dansait, et le tonnerre éclatait comme une fusée au-dessus de sa tête."
 the horse took the bit between his teeth and bolted, le cheval a pris le mors entre ses dents et a détalé,le cheval a pris le mors entre ses dents et s'est enfui
"  a moderate incline runs towards the foot of maybury hill, and down this we clattered","  une pente modérée s'étend vers le pied de la colline de maybury, et nous l'avons descendue en claquant des doigts.","une pente modérée s'étend vers le pied de la colline de Maybury, et nous y avons claqué"
" once the lightning had begun, it went on in as rapid a succession of flashes as i have ever seen"," une fois que les éclairs ont commencé, ils se sont succédés aussi rapidement que je ne l'ai jamais vu","Une fois que l'éclair a commencé, il s'est poursuivi en une succession d'éclairs aussi rapide que j'en ai jamais vu."
" the thunderclaps, treading one on the heels of another and with a strange crackling accompaniment, sounded more like the working of a gigantic electric machine than the usual detonating reverberations"," les coups de tonnerre, se succédant les uns aux autres et accompagnés d'un étrange crépitement, ressemblaient plus au fonctionnement d'une gigantesque machine électrique qu'aux habituelles réverbérations détonantes.","les coups de tonnerre, se succédant les uns les autres et accompagnés d'un étrange crépitement, ressemblaient plus au fonctionnement d'une gigantesque machine électrique qu'aux habituelles réverbérations détonantes."
" the flickering light was blinding and confusing, and a thin hail smote gustily at my face as i drove down the slope"," la lumière vacillante était aveuglante et déroutante, et une fine grêle me frappait par rafales au visage alors que je dévalais la pente","la lumière vacillante était aveuglante et déroutante, et une fine grêle me frappa le visage en rafales alors que je descendais la pente."
"  at first i regarded little but the road before me, and then abruptly my attention was arrested by something that was moving rapidly down the opposite slope of maybury hill","  Au début, je ne voyais que la route devant moi, puis mon attention fut brusquement attirée par quelque chose qui se déplaçait rapidement sur le versant opposé de la colline de Maybury.","au début, je ne regardais que la route devant moi, puis brusquement mon attention fut attirée par quelque chose qui se déplaçait rapidement sur le versant opposé de Maybury Hill."
" at first i took it for the wet roof of a house, but one flash following another showed it to be in swift rolling movement"," j'ai d'abord cru qu'il s'agissait du toit mouillé d'une maison, mais un flash après l'autre a montré qu'il s'agissait d'un mouvement de roulis rapide","au début, je l'ai pris pour le toit mouillé d'une maison, mais les éclairs se succédant l'un après l'autre m'ont montré un mouvement de roulis rapide."
" it was an elusive visionâ€”a moment of bewildering darkness, and then, in a flash like daylight, the red masses of the orphanage near the crest of the hill, the green tops of the pine trees, and this problematical object came out clear and sharp and bright"," c'était une vision insaisissable - un moment d'obscurité déconcertante, et puis, dans un éclair comme la lumière du jour, les masses rouges de l'orphelinat près de la crête de la colline, les cimes vertes des pins, et cet objet problématique sont apparus clairs, nets et lumineux","c'était une vision insaisissable – un moment d'obscurité ahurissante, puis, dans un éclair comme la lumière du jour, les masses rouges de l'orphelinat près de la crête de la colline, les cimes vertes des pins, et cet objet problématique apparut clairement. et net et lumineux"
"  and this thing i saw! how can i describe it? a monstrous tripod, higher than many houses, striding over the young pine trees, and smashing them aside in its career; a walking engine of glittering metal, striding now across the heather; articulate ropes of steel dangling from it, and the clattering tumult of its passage mingling with the riot of the thunder","  Et cette chose que j'ai vue ! comment la décrire ? un trépied monstrueux, plus haut que bien des maisons, enjambant les jeunes pins et les écrasant dans sa course ; une machine ambulante de métal étincelant, enjambant maintenant la bruyère ; des câbles d'acier articulés y pendaient, et le tumulte fracassant de son passage se mêlait à l'émeute du tonnerre","et cette chose que j'ai vue ! comment puis-je le décrire ? un trépied monstrueux, plus haut que bien des maisons, enjambant les jeunes pins et les écrasant dans sa carrière ; une machine ambulante en métal scintillant, marchant maintenant à travers la bruyère ; des cordes d'acier articulées y pendaient, et le tumulte cliquetant de son passage se mêlait à l'émeute du tonnerre."
" a flash, and it came out vividly, heeling over one way with two feet in the air, to vanish and reappear almost instantly as it seemed, with the next flash, a hundred yards nearer"," un éclair, et il est apparu vivement, se renversant d'un côté, les deux pieds en l'air, pour disparaître et réapparaître presque instantanément, comme il semblait, à l'éclair suivant, à cent mètres plus près","un éclair, et il est sorti vivement, s'est incliné dans une direction avec les deux pieds en l'air, pour disparaître et réapparaître presque instantanément comme il semblait, avec l'éclair suivant, une centaine de mètres plus près."
 can you imagine a milking stool tilted and bowled violently along the ground? that was the impression those instant flashes gave, pouvez-vous imaginer un tabouret de traite incliné et projeté violemment sur le sol ? c'est l'impression que donnaient ces flashs instantanés,pouvez-vous imaginer un tabouret de traite incliné et renversé violemment sur le sol ? c'était l'impression que donnaient ces flashs instantanés
 but instead of a milking stool imagine it a great body of machinery on a tripod stand," mais au lieu d'un tabouret de traite, imaginez un grand ensemble de machines sur un trépied.","mais au lieu d'un tabouret de traite, imaginez-le comme un grand corps de machinerie sur un trépied"
"  then suddenly the trees in the pine wood ahead of me were parted, as brittle reeds are parted by a man thrusting through them; they were snapped off and driven headlong, and a second huge tripod appeared, rushing, as it seemed, headlong towards me","  soudain, les arbres de la pinède devant moi se sont séparés, comme des roseaux fragiles sont séparés par un homme qui les traverse ; ils ont été arrachés et poussés tête baissée, et un deuxième énorme trépied est apparu, se précipitant, semblait-il, tête baissée vers moi.","puis, tout à coup, les arbres de la pinède devant moi furent séparés, comme des roseaux cassants sont séparés par un homme qui les traverse ; ils ont été cassés et poussés tête baissée, et un deuxième énorme trépied est apparu, se précipitant, semble-t-il, tête baissée vers moi"
 and i was galloping hard to meet it! at the sight of the second monster my nerve went altogether," et je galopais à sa rencontre ! à la vue du deuxième monstre, mes nerfs ont lâché !","et je galopais fort pour le rencontrer ! à la vue du deuxième monstre, mon sang-froid s'est complètement dissipé"
" not stopping to look again, i wrenched the horse's head hard round to the right and in another moment the dog cart had heeled over upon the horse; the shafts smashed noisily, and i was flung sideways and fell heavily into a shallow pool of water"," sans m'arrêter pour regarder à nouveau, je donnai un grand coup de tête au cheval vers la droite et, en un instant, la charrette à chiens s'était renversée sur le cheval ; les arbres s'entrechoquèrent bruyamment, je fus projeté sur le côté et tombai lourdement dans une mare d'eau peu profonde","sans m'arrêter pour regarder de nouveau, j'ai tourné violemment la tête du cheval vers la droite et en un instant plus tard, la charrette à chien s'était renversée sur le cheval ; les puits se sont brisés bruyamment, j'ai été projeté sur le côté et je suis tombé lourdement dans une mare d'eau peu profonde."
"  i crawled out almost immediately, and crouched, my feet still in the water, under a clump of furze","  j'ai rampé presque immédiatement et je me suis accroupi, les pieds encore dans l'eau, sous une touffe de fourrure","J'ai rampé presque immédiatement et je me suis accroupi, les pieds toujours dans l'eau, sous un touffe d'ajoncs."
" the horse lay motionless (his neck was broken, poor brute!) and by the lightning flashes i saw the black bulk of the overturned dog cart and the silhouette of the wheel still spinning slowly"," le cheval est resté immobile (il avait la nuque brisée, le pauvre !) et, grâce aux éclairs, j'ai vu la masse noire de la charrette à chiens renversée et la silhouette de la roue qui tournait encore lentement","le cheval restait immobile (il avait le cou cassé, pauvre brute !) et aux éclairs je vis la masse noire de la charrette à chien renversée et la silhouette de la roue qui tournait toujours lentement"
" in another moment the colossal mechanism went striding by me, and passed uphill towards pyrford"," dans un autre moment, le mécanisme colossal est passé à côté de moi à grandes enjambées, et a remonté la pente vers pyrford","un instant plus tard, le mécanisme colossal passa à côté de moi et monta vers Pyrford."
"  seen nearer, the thing was incredibly strange, for it was no mere insensate machine driving on its way","  de plus près, la chose était incroyablement étrange, car il ne s'agissait pas d'une simple machine insensée roulant sur son chemin.","vue de plus près, la chose était incroyablement étrange, car ce n'était pas une simple machine insensible qui avançait."
" machine it was, with a ringing metallic pace, and long, flexible, glittering tentacles (one of which gripped a young pine tree) swinging and rattling about its strange body"," La machine était là, avec son rythme métallique et ses tentacules longs, flexibles et scintillants (dont l'un agrippait un jeune pin) qui se balançaient et s'agitaient autour de son corps étrange","c'était une machine, avec une allure métallique et sonore, et de longs tentacules flexibles et scintillants (dont l'un agrippait un jeune pin) se balançant et crépitant autour de son corps étrange."
" it picked its road as it went striding along, and the brazen hood that surmounted it moved to and fro with the inevitable suggestion of a head looking about"," Il choisissait sa route en avançant à grands pas, et le capuchon d'airain qui le surmontait allait et venait avec l'inévitable suggestion d'une tête qui regardait autour d'elle.","il choisissait sa route à mesure qu'il avançait, et le capuchon d'airain qui le surmontait se déplaçait d'avant en arrière avec l'inévitable suggestion d'une tête regardant autour de lui."
" behind the main body was a huge mass of white metal like a gigantic fisherman's basket, and puffs of green smoke squirted out from the joints of the limbs as the monster swept by me"," Derrière le corps principal se trouvait une énorme masse de métal blanc semblable à un gigantesque panier de pêcheur, et des bouffées de fumée verte sortaient des articulations des membres lorsque le monstre passait à côté de moi","derrière le corps principal se trouvait une énorme masse de métal blanc semblable à un gigantesque panier de pêcheur, et des bouffées de fumée verte jaillissaient des articulations des membres alors que le monstre me balayait."
 and in an instant it was gone," et en un instant, il a disparu",et en un instant c'était parti
"  so much i saw then, all vaguely for the flickering of the lightning, in blinding highlights and dense black shadows","  J'ai vu tant de choses alors, vaguement pour le scintillement des éclairs, dans des lumières aveuglantes et des ombres noires et denses.","tant de choses que j'ai vues alors, tout cela vaguement pour le scintillement des éclairs, dans des reflets aveuglants et des ombres noires denses"
"  as it passed it set up an exultant deafening howl that drowned the thunderâ€”aloo! aloo!â€”and in another minute it was with its companion, half a mile away, stooping over something in the field","  Au passage, il poussa un hurlement exalté et assourdissant qui couvrit le tonnerre - ""aloo ! aloo !"" - et dans une minute, il était avec son compagnon, à un demi-mille de là, se penchant sur quelque chose dans le champ.","en passant, il a déclenché un hurlement assourdissant et exultant qui a noyé le tonnerre – aloo ! aloo ! – et une minute plus tard, il était avec son compagnon, à 800 mètres de là, penché sur quelque chose dans le champ."
 i have no doubt this thing in the field was the third of the ten cylinders they had fired at us from mars, je ne doute pas que cette chose sur le terrain était le troisième des dix cylindres qu'ils ont tirés sur nous depuis mars,Je n'ai aucun doute que cette chose sur le terrain était le troisième des dix cylindres qu'ils nous avaient tirés depuis Mars.
"  for some minutes i lay there in the rain and darkness watching, by the intermittent light, these monstrous beings of metal moving about in the distance over the hedge tops","  pendant quelques minutes, je suis resté allongé dans la pluie et l'obscurité, observant, à la lumière intermittente, ces monstrueux êtres de métal qui se déplaçaient au loin au-dessus des haies.","pendant quelques minutes, je restai là, sous la pluie et dans l'obscurité, à regarder, par la lumière intermittente, ces êtres monstrueux de métal se déplaçant au loin au-dessus des cimes des haies."
" a thin hail was now beginning, and as it came and went their figures grew misty and then flashed into clearness again"," une fine grêle commençait à tomber, et au fur et à mesure qu'elle s'abattait, leurs silhouettes s'embrouillaient, puis redevenaient nettes.","une fine grêle commençait maintenant, et au fur et à mesure qu'elle allait et venait, leurs silhouettes devinrent brumeuses puis redevinrent claires."
" now and then came a gap in the lightning, and the night swallowed them up"," de temps en temps, il y avait une éclaircie, et la nuit les engloutissait","de temps en temps il y avait une brèche dans la foudre, et la nuit les engloutissait"
  i was soaked with hail above and puddle water below,  j'étais trempé de grêle en haut et de flaques d'eau en bas,j'étais trempé de grêle au-dessus et d'eau de flaque d'eau en dessous
" it was some time before my blank astonishment would let me struggle up the bank to a drier position, or think at all of my imminent peril"," Il fallut un certain temps avant que ma stupéfaction ne me permette de me débattre sur la berge pour retrouver une position plus sèche, ou de penser à mon péril imminent.","il a fallu un certain temps avant que mon étonnement vide me permette de remonter la berge jusqu'à une position plus sèche, ou de penser à mon péril imminent."
"  not far from me was a little one-roomed squatter's hut of wood, surrounded by a patch of potato garden","  non loin de moi se trouvait une petite cabane en bois d'une seule pièce, entourée d'un jardin de pommes de terre.","non loin de moi se trouvait une petite cabane en bois d'un squatter d'une seule pièce, entourée d'un champ de pommes de terre."
" i struggled to my feet at last, and, crouching and making use of every chance of cover, i made a run for this"," Je me suis enfin levé et, accroupi, je me suis mis à courir en profitant de toutes les possibilités de couverture.","J'ai finalement réussi à me relever et, m'accroupissant et profitant de toutes les chances de me mettre à l'abri, j'ai couru vers cet endroit."
" i hammered at the door, but i could not make the people hear (if there were any people inside), and after a time i desisted, and, availing myself of a ditch for the greater part of the way, succeeded in crawling, unobserved by these monstrous machines, into the pine woods towards maybury"," j'ai martelé la porte, mais je n'ai pas pu faire entendre les gens (s'il y avait des gens à l'intérieur), et après un certain temps j'ai abandonné, et, profitant d'un fossé sur la plus grande partie du chemin, j'ai réussi à ramper, sans être vu par ces monstrueuses machines, dans les bois de pins vers Maybury...","J'ai frappé à la porte, mais je ne pouvais pas faire entendre les gens (s'il y avait du monde à l'intérieur), et après un certain temps, j'ai renoncé et, profitant d'un fossé pendant la plus grande partie du chemin, j'ai réussi à ramper, sans être remarqué. par ces machines monstrueuses, dans les pinèdes en direction de Maybury"
"  under cover of this i pushed on, wet and shivering now, towards my own house","  C'est ainsi que j'ai poursuivi ma route, trempé et grelottant, vers ma propre maison.","sous le couvert de cela, j'ai continué, mouillé et frissonnant maintenant, vers ma propre maison"
 i walked among the trees trying to find the footpath, j'ai marché entre les arbres en essayant de trouver le sentier,j'ai marché parmi les arbres en essayant de trouver le sentier
" it was very dark indeed in the wood, for the lightning was now becoming infrequent, and the hail, which was pouring down in a torrent, fell in columns through the gaps in the heavy foliage"," il faisait vraiment très sombre dans le bois, car les éclairs devenaient de plus en plus rares, et la grêle, qui tombait en torrent, tombait en colonnes à travers les trouées du lourd feuillage","il faisait en effet très sombre dans le bois, car les éclairs devenaient désormais rares, et la grêle, qui tombait en torrent, tombait en colonnes à travers les interstices du feuillage épais."
"  if i had fully realised the meaning of all the things i had seen i should have immediately worked my way round through byfleet to street cobham, and so gone back to rejoin my wife at leatherhead","  si j'avais pleinement réalisé la signification de toutes les choses que j'avais vues, j'aurais immédiatement fait le tour de byfleet jusqu'à street cobham, puis je serais retourné rejoindre ma femme à leatherhead.","si j'avais pleinement compris la signification de toutes les choses que j'avais vues, j'aurais immédiatement traversé Byfleet jusqu'à la rue Cobham, et suis ainsi retourné rejoindre ma femme à Leatherhead."
" but that night the strangeness of things about me, and my physical wretchedness, prevented me, for i was bruised, weary, wet to the skin, deafened and blinded by the storm"," Mais cette nuit-là, l'étrangeté des choses autour de moi et ma misère physique m'en ont empêché, car j'étais meurtri, fatigué, trempé jusqu'à la peau, assourdi et aveuglé par la tempête.","mais cette nuit-là, l'étrangeté des choses autour de moi et ma misère physique m'en empêchèrent, car j'étais meurtri, las, mouillé jusqu'aux os, assourdi et aveuglé par la tempête."
"  i had a vague idea of going on to my own house, and that was as much motive as i had","  J'avais une vague idée d'aller dans ma propre maison, et c'était la seule raison que j'avais de le faire.","j'avais une vague idée de rentrer chez moi, et c'était autant de motivations que j'avais"
" i staggered through the trees, fell into a ditch and bruised my knees against a plank, and finally splashed out into the lane that ran down from the college arms"," J'ai titubé à travers les arbres, je suis tombé dans un fossé et je me suis écorché les genoux contre une planche, et j'ai finalement débouché sur le chemin qui descendait des bras du collège.","J'ai chancelé à travers les arbres, je suis tombé dans un fossé et je me suis écrasé les genoux contre une planche, et j'ai finalement éclaboussé dans l'allée qui descendait des bras du collège."
" i say splashed, for the storm water was sweeping the sand down the hill in a muddy torrent"," Je dis ""éclaboussé"", car l'eau de pluie balayait le sable vers le bas de la colline en un torrent boueux.","je dis éclaboussé, car les eaux pluviales balayaient le sable le long de la colline dans un torrent boueux"
 there in the darkness a man blundered into me and sent me reeling back," là, dans l'obscurité, un homme m'a percuté et m'a fait basculer en arrière","là, dans l'obscurité, un homme s'est précipité sur moi et m'a fait reculer"
"  he gave a cry of terror, sprang sideways, and rushed on before i could gather my wits sufficiently to speak to him","  il a poussé un cri de terreur, a fait un bond de côté et s'est précipité avant que j'aie pu reprendre mes esprits pour lui parler","il a poussé un cri de terreur, a bondi de côté et s'est précipité avant que je puisse reprendre suffisamment mes esprits pour lui parler."
 so heavy was the stress of the storm just at this place that i had the hardest task to win my way up the hill, le stress de la tempête était si fort à cet endroit que j'ai eu la tâche la plus difficile pour me frayer un chemin jusqu'en haut de la colline.,Le stress de la tempête était si lourd à cet endroit que j'ai eu la tâche la plus difficile de gravir la colline.
 i went close up to the fence on the left and worked my way along its palings, je me suis approché de la clôture de gauche et je me suis frayé un chemin le long des palissades,je me suis approché de la clôture à gauche et j'ai longé ses palissades
"  near the top i stumbled upon something soft, and, by a flash of lightning, saw between my feet a heap of black broadcloth and a pair of boots","  vers le sommet, j'ai trébuché sur quelque chose de mou, et, par un éclair, j'ai vu entre mes pieds un tas de toile noire et une paire de bottes","près du sommet, je tombai sur quelque chose de doux et, par un éclair, je vis entre mes pieds un tas de drap noir et une paire de bottes."
" before i could distinguish clearly how the man lay, the flicker of light had passed"," avant que je ne puisse distinguer clairement comment l'homme était couché, la lueur était passée","avant que je puisse distinguer clairement comment l'homme gisait, le scintillement de la lumière était passé"
 i stood over him waiting for the next flash, Je me suis tenu au-dessus de lui en attendant le prochain flash,je me tenais au-dessus de lui en attendant le prochain flash
" when it came, i saw that he was a sturdy man, cheaply but not shabbily dressed; his head was bent under his body, and he lay crumpled up close to the fence, as though he had been flung violently against it"," Quand il arriva, je vis que c'était un homme robuste, vêtu de façon bon marché, mais non négligeable ; sa tête était courbée sous son corps, et il gisait froissé près de la clôture, comme s'il avait été violemment projeté contre elle","quand il est arrivé, j'ai vu que c'était un homme robuste, habillé à bon marché mais pas mal ; sa tête était penchée sous son corps et il gisait recroquevillé près de la clôture, comme s'il avait été violemment projeté contre celle-ci."
"  overcoming the repugnance natural to one who had never before touched a dead body, i stooped and turned him over to feel for his heart","  Surmontant la répugnance naturelle à celui qui n'a jamais touché un cadavre, je me suis penché et l'ai retourné pour tâter son cœur.","surmontant la répugnance naturelle de quelqu'un qui n'avait jamais touché un cadavre auparavant, je me penchai et le retournai pour palper son cœur."
 he was quite dead, il était bien mort,il était bien mort
 apparently his neck had been broken, apparemment sa nuque avait été brisée,"apparemment, son cou avait été cassé"
" the lightning flashed for a third time, and his face leaped upon me", l'éclair a jailli une troisième fois et son visage m'a sauté dessus,l'éclair a éclaté une troisième fois et son visage s'est jeté sur moi
 i sprang to my feet, je me suis levé d'un bond,je me suis levé d'un bond
